ROW_ID, MENU_ID, MENU_NAME, TYPE, LAST_UPDATE_DATE, LAST_UPDATED_BY, LAST_UPDATE_LOGIN, CREATION_DATE, CREATED_BY, USER_MENU_NAME, DESCRIPTION
AAA/JXAGXAAAUfhABN,78100,QP_HOMEPAGE_LISTS_TAB,TAB,10.11.03,2,0,10.11.03,2,QP_HOMEPAGE_LISTS_TAB,Homepage Lists Tab Menu
AAA/JXAGXAAAUfhABO,78101,QP_HOMEPAGE_APPLICATION,HOMEPAGE,23.10.03,2,0,23.10.03,2,QP_HOMEPAGE_APPLICATION,Homepage Application Level Menu
AAA/JXAGXAAAUfhABT,78112,XTR_HEDGE_RELATIONSHIP_MENU,,27.08.08,121,0,27.03.03,2,Treasury Hedge Relationship Menu,Treasury Hedge Relationship Menu
AAA/JXAGXAAAUfhABU,78113,XTR_HEDGE_RELATIONSHIP_VIEW,,27.08.08,121,0,27.03.03,2,Treasury Hedge Relationship Inquiry Menu,Treasury Hedge Relationship Inquiry Menu
AAA/JXAGXAAAUfkAA3,78275,ISC_DBI_PROREV_BL_FUNC1,,14.01.05,120,0,09.02.04,2,Product Revenue Bookings and Backlog Functional Area 1,Product Revenue Bookings and Backlog Reports
AAA/JXAGXAAAUfkAA7,78279,ISC_DBI_REV_BACKLOG_PARAM,,14.01.05,120,0,09.02.04,2,Product Revenue Bookings and Backlog Page Parameter,
AAA/JXAGXAAAUfkAA9,78281,ISC_DBI_REV_BACKLOG_1,,14.01.05,120,0,09.02.04,2,Product Revenue Bookings and Backlog Page Rack 1,
AAA/JXAGXAAAUfkAA+,78282,ISC_DBI_REV_BACKLOG_2,,14.01.05,120,0,09.02.04,2,Product Revenue Bookings and Backlog Page Rack 2,
AAA/JXAGXAAAUfkABC,78288,ISC_DBI_REV_BACKLOG_3,,14.01.05,120,0,09.02.04,2,Product Revenue Bookings and Backlog Page Rack 3,
AAA/JXAGXAAAUfkABD,78290,ISC_DBI_REV_BACKLOG_4,,14.01.05,120,0,23.02.04,2,Product Revenue Bookings and Backlog Page Rack 4,
AAA/JXAGXAAAUfkABF,78300,ISC_DBI_REV_BACKLOG_PAGE,,14.01.05,120,0,09.02.04,2,Product Revenue Bookings and Backlog Page,Product Revenue Bookings and Backlog Page Definition Menu
AAA/JXAGXAAAUfkABG,78306,ISC_DBI_REV_BACKLOG_KPIS,,14.01.05,120,0,09.02.04,2,Product Revenue Bookings and Backlog KPIs,Menu for Product Revenue Bookings and Backlog KPIs
AAA/JXAGXAAAUfkABH,78313,ISC_DBI_PRODREV_BL_MAIN_MENU,,14.01.05,120,0,09.02.04,2,Product Revenue Bookings and Backlog Main Menu,
AAA/JXAGXAAAUfkABI,78316,BIL_BI_ROOT,STANDARD,03.12.04,120,0,24.10.03,2,Daily Sales Intelligence,Daily Sales Intelligence Root Menu
AAA/JXAGXAAAUfkABJ,78324,BIL_BI_SLSMGR_SALES_OLTP_ROOT,,23.03.04,2,0,23.03.04,2,BIL_BI_SLSMGR_SALES_OLTP_ROOT,Sales DBI Sales Manager root menu for Oracle Sales
AAA/JXAGXAAAUfkABK,78325,BIL_BI_SLSMGR_ROOT,,03.12.04,120,0,23.03.04,2,Sales Manager,Sales DBI root menu for Sales Manager Role
AAA/JXAGXAAAUfjABU,78330,HRI_DBI_OAR_LINE_MGR_HEAD_CTR,STANDARD,21.10.05,120,0,06.01.04,2,HR DBI Line Manager Headcount By Country Rack (OA),Menu for HR Line Manager Headcount By Country Rack in OAF
AAA/JXAGXAAAUfjABV,78331,HRI_DBI_OAR_LINE_MGR_SALARY,STANDARD,21.10.05,120,0,06.01.04,2,HR DBI Line Manager Salary Rack (OA),Menu for HR Line Manager Salary Rack in OAF
AAA/JXAGXAAAUfjABX,78334,HRI_DBI_OA_LINE_MANAGER,STANDARD,21.10.05,120,0,06.01.04,2,HR Line Manager Page,HR Line Manager Page Rendered using OA Technology
AAA/JXAGXAAAUfjABY,78335,HRI_P_MANAGEMENT_DRILL_RPTS,STANDARD,21.10.05,120,0,01.09.03,2,HR Management Drill Reports,HR Management Drill Reports
AAA/JXAGXAAAUfjABZ,78336,FII_PL_MGR_PARAMS,STANDARD,18.08.03,2,0,18.08.03,2,FII_PL_MGR_PARAMS,Profit and Loss by Manager Parameter Portlet
